[ 2012-12-06T19:59:25+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SELECT * FROM `think_user` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000821s ]
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.001248s ]
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001351s ]
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003483s ]
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003565s ]
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php 第 22 行.
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [8] Undefined variable: id IndexAction.class.php 第 25 行.
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.000784s ]
[ 2012-12-06T20:11:45+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SELECT * FROM `think_user`  [ RunTime:0.000364s ]
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000899s ]
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000987s ]
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000996s ]
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001071s ]
[ 2012-12-06T20:12:00+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php 第 22 行.
